개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,사용안내전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
제주종합경기장,한라체육관,체육관,없음,6:00,22:00,6:00,22:00,Y,,"5858",,방문. 팩스,,제주특별자치도 제주시 서광로2길 24,,제주시청,064-728-3271,33.4949885,126.5167324,2020/12/29,"6510000",제주특별자치도 제주시
복합생활스포츠타운,복합생활스포츠타운,배드맨턴장,보수시,6:00,22:00,6:00,22:00,N,,"1128",,,,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
복합생활스포츠타운,복합생활스포츠타운,테니스장,보수시,6:00,22:00,6:00,22:00,N,,"677",,,,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
복합생활스포츠타운,복합생활스포츠타운,축구장,보수시,8:00,17:00,8:00,18:00,Y,"462","11517","본부석, 육상트랙","온라인예약,현장접수",,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
복합생활스포츠타운,복합생활스포츠타운,풋살경기장,보수시,8:00,22:00,8:00,22:00,Y,"30","684","파고라, 야간조명등","온라인예약,현장접수",,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
복합생활스포츠타운,복합생활스포츠타운,풋살경기장,보수시,8:00,22:00,8:00,22:00,Y,"30","684","파고라, 야간조명등","온라인예약,현장접수",,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
복합생활스포츠타운,복합생활스포츠타운,농구장,보수시,6:00,22:00,6:00,22:00,N,,"2235",,,,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,군포시시설관리공단,031-390-7644,37.33876324,126.9364804,2021/04/21,"4020000",경기도 군포시
시민체육광장,시민체육광장,농구장,보수시,6:00,22:00,6:00,22:00,N,,"1152","남녀화장실,야간조명탑",무료개방시설,,경기도 군포시 산본로 267,경기도 군포시 금정동 871,군포시시설관리공단,031-390-7677,37.35403568,126.9368152,2021/04/21,"4020000",경기도 군포시
강화길상공설운동장_축구장,강화길상공설운동장,축구장,연중무휴,9:00,22:00,9:00,22:00,Y,,"13856",스탠드,"인터넷,팩스",,인천광역시 강화군 길상면 길상로 244,인천광역시 강화군 길상면 온수리 605-26,강화군시설관리공단,032-930-7080,37.6357877,126.4968647,2019/12/16,B552108,강화군시설관리공단
강화공설운동장_축구장,강화공설운동장,축구장,연중무휴(운영시간은 동절기 기준),7:00,21:00,7:00,21:00,Y,,"14250",스탠드,방문,,인천광역시 강화군 강화읍 고비고개로19번길 12,인천광역시 강화군 강화읍 국화리 239,강화군시설관리공단,032-930-7045,37.7475716,126.4765108,2019/12/16,B552108,강화군시설관리공단
줄포만갯벌생태공원,축구장,축구장,연중무휴,9:00,22:00,9:00,22:00,Y,"999",,천연잔디+화장실+개수대+그늘막+벤치등편의시설,인터넷,,전라북도 부안군 줄포면 생태공원로 38,전라북도 부안군 줄포면 우포리 513,부안군,063-580-3171,35.5829853,126.6741306,2021/03/11,"4790000",전라북도 부안군
줄포만갯벌생태공원,농구장,농구장,연중무휴,9:00,22:00,9:00,22:00,Y,"30",,우레탄바닥+풀코트1면+화장실+개수대+정자+벤치등편의시설,인터넷,,전라북도 부안군 줄포면 생태공원로 38,전라북도 부안군 줄포면 우포리 513,부안군,063-580-3171,35.5829853,126.6741306,2021/03/11,"4790000",전라북도 부안군
줄포만갯벌생태공원,족구장,족구장,연중무휴,9:00,22:00,9:00,22:00,Y,"20",,우레탄바닥+네트완비+화장실+정자+벤치등편의시설,인터넷,,전라북도 부안군 줄포면 생태공원로 38,전라북도 부안군 줄포면 우포리 513,부안군,063-580-3171,35.5829853,126.6741306,2021/03/11,"4790000",전라북도 부안군
하북체육공원 축구장,하북체육공원,축구장,연주무휴,7:00,23:00,7:00,23:00,Y,"400","6528",,방문+ 전화,,,경상남도 양산시 하북면 초산리 455-1,경상남도 양산시청,055-392-7256,35.481882,129.079203,2020/10/22,"5380000",경상남도 양산시
국민체육센터 실내체육관,국민체육센터,체육관,1/1+설날+추석+1주 일요일+3주 일요일,6:00,22:00,9:00,18:00,Y,"100","1140",,현장접수,,경상남도 양산시 물금읍 청룡로 33,경상남도 양산시 물금읍 가촌리 990,경상남도 양산시시설관리공단,055-379-8640,35.32652607,128.9950691,2020/10/22,"5380000",경상남도 양산시
제24호 근린공원 생활체육마당,풋살장,풋살경기장,N,6:00,22:00,6:00,22:00,N,,,,,,,경기도 화성시 방교동 861,화성도시공사,,37.168066,127.090474,2020/05/24,"5530000",경기도 화성시
노온다목적운동장,노온다목적운동장,축구장,없음,6:00,18:00,6:00,18:00,Y,,,,온라인예약,,광명시 범안로 777-21,광명시 학온동 956-116,광명도시공사,02-2610-7375,37.447864,126.856934,2020/11/16,"3900000",경기도 광명시
도덕산캠핑장,도덕산캠핑장,캠핑장,없음,0:00,0:00,0:00,0:00,Y,,"8530",,온라인예약,,광명시 밤일안로 42번길 69,하안동 549,광명도시공사,02-2610-7370,37.459209,126.860576,2020/11/17,"3900000",경기도 광명시
광명시립야구장,광명시립야구장,야구장,"월,추석·설 연휴",7:00,19:00,7:00,19:00,Y,,"9461",,온라인예약,,광명시 하안로 30-19,소하동 530-10,광명도시공사,02-2610-7379,37.442953,126.896038,2020/11/17,"3900000",경기도 광명시
광명시립족구장,광명시립족구장,족구장,"월,추석·설 연휴",6:00,22:00,6:00,22:00,Y,,,,온라인예약,,광명시 가림로 59,광명시 하안동 산 53-2,광명도시공사,02-2610-7343,37.461111,126.861956,2020/11/18,"3900000",경기도 광명시
광명시립테니스장,광명시립테니스장,테니스장,"월,추석·설 연휴",6:00,22:00,6:00,22:00,Y,,,,온라인예약,,광명시 금하로 201-68,광명시 노온사동 산 10-1,광명도시공사,02-2610-7377,37.457533,126.855069,2020/11/18,"3900000",경기도 광명시
통영시청소년수련원 농구장,통영시청소년수련원,농구장,연중무휴,9:00,18:00,9:00,18:00,N,,"486",마사토마당,방문+전화,,경상남도 통영시 발개로 194,경상남도 통영시 도남동 340-5,경상남도 통영시청,055-646-7925,34.82538405,128.4263422,2021/03/02,"5330000",경상남도 통영시
체육관,고창군 청소년수련관,다목적경기장,"명절, 매주 일요일",9:00,20:00,6:00,18:00,Y,"50","740.8",,방문,없음,전라북도 고창군 고창읍 운동장길 36,전북 고창군 고창읍 월암리 316,전라북도 고창군청,063-560-8917,35.433491,126.723206,2020/11/06,"4780000",전라북도 고창군
고창군립체육관,고창군립체육관,다목적경기장,명절 당일,6:00,22:00,6:00,22:00,Y,"1526","7442","음향시설,확성기 ,후로링카바,조명,전광판,조명탑,농구대,배구지주,핸드볼대,배드민턴지주, 마이크","방문,전화",없음,전라북도 고창군 고창읍 운동장길 36,전북 고창군 고창읍 월암리 316,전라북도 고창군청,063-560-8957,35.43237116,126.722136,2020/11/06,"4780000",전라북도 고창군
공설운동장,고창군 공설운동장,다목적경기장,없음,1:00,23:00,1:00,23:00,Y,"7000","24608","음향시설,확성기 ,후로링카바,조명,전광판,조명탑, 마이크","방문,전화",없음,전라북도 고창군 고창읍 운동장길 36,전북 고창군 고창읍 월암리 316,전라북도 고창군청,063-560-8945,35.432577,126.724257,2020/11/06,"4780000",전라북도 고창군
부주산족구장,부주산족구장,족구장,월요일,9:00,18:00,9:00,18:00,N,"200","4340",조명4기,,,전라남도 목포시 부주로 312,,전라남도 목포시청,061-284-2035,34.812275,126.436712,2021/01/28,"4800000",전라남도 목포시
함평문화체육센터,함평문화체육센터,체육관,연중무휴,9:00,18:00,0:00,0:00,Y,"1000","1000",기계실+방송실+조명실+무대+소회의실,방문+전화,,전라남도 함평군 대동면 함장로 1377,전라남도 함평군 대동면 향교리 147,함평군청,061-320-1793,35.062216,126.543298,2020/11/20,"4960000",전라남도 함평군
함평공설운동장,함평공설운동장,다목적경기장,연중무휴,9:00,18:00,0:00,0:00,Y,"1000","1000",기계실+방송실+조명실+무대+소회의실,방문+전화,,전라남도 함평군 대동면 함장로 1377,전라남도 함평군 대동면 향교리 147,함평군청,061-320-1793,35.062216,126.543298,2020/11/20,"4960000",전라남도 함평군
부주산테니스장,부주산테니스장,테니스장,월요일,9:00,18:00,9:00,18:00,Y,"500","7273",라이트시설 조명 16기,신청서접수,,전라남도 목포시 부주로 312,,전라남도 목포시청,061-284-2035,34.812275,126.436712,2021/01/28,"4800000",전라남도 목포시
부주산축구장,부주산축구장,축구장,월요일,9:00,18:00,9:00,18:00,N,"1000","9086",축구골대2대,,,전라남도 목포시 부주로 312,,전라남도 목포시청,061-284-2035,34.812275,126.436712,2021/01/28,"4800000",전라남도 목포시
군산청소년수련관,수련동1층(체육관),체육관,연중무휴,8:00,22:00,8:00,22:00,Y,"100",,,방문,,전라북도 군산시 청소년회관로 75,전라북도 군산시 송풍동 954-3,전라북도 군산시청,063-461-4166,35.979334,126.696311,2021/03/22,"4670000",전라북도 군산시
제주종합경기장,애향운동장,축구장,없음,6:00,22:00,6:00,22:00,Y,,"21662",,방문. 팩스,,제주특별자치도 제주시 서광로2길 24,,제주시청,064-728-3271,33.4949885,126.5167324,2020/12/29,"6510000",제주특별자치도 제주시
실내체육관,실내체육관,체육관,추석연휴+설연휴,9:00,22:00,9:00,18:00,Y,"1996","6536",무대+화장실+샤워장,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 933,부안군,063-580-3904,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,공설운동장,축구장,추석연휴+설연휴,9:00,22:00,9:00,18:00,Y,"6700","26000",육상트랙+천연잔디축구장+화장실+조명시설,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 933,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,보조경기장,축구장,추석연휴+설연휴,9:00,22:00,9:00,18:00,Y,"100","20000",조명시설,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 933,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,풋살장,풋살경기장,추석연휴+설연휴,9:00,22:00,9:00,18:00,N,"20","1260",조명시설,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 933,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,테니스장,테니스장,추석연휴+설연휴,9:00,22:00,9:00,18:00,N,"50","5000",조명시설+샤워장+화장실,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 933,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,족구장,족구장,추석연휴+설연휴,9:00,22:00,9:00,18:00,N,"20","2150",조명시설,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 1154,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
스포츠파크,농구장,농구장,추석연휴+설연휴,9:00,22:00,9:00,18:00,N,"20","750",조명시설,방문신청,,전라북도 부안군 행안면 체육공원길 31,전라북도 부안군 행안면 진동리 1154,부안군,063-580-4694,35.70046345,126.722097,2021/03/11,"4790000",전라북도 부안군
송산체육시설 축구장,송산체육시설,축구장,N,6:00,22:00,6:00,22:00,Y,,"260",,,,,경기도 화성시 송산면 삼존리 124,화성도시공사,,37.218908,126.731529,2020/05/24,"5530000",경기도 화성시
한경체육관,인조잔디구장,축구장,없음,9:00,18:00,9:00,18:00,Y,,"7344",,방문. 팩스,,제주특별자치도 제주시 한경면 칠전로 41,,제주시청,064-728-7911,33.3014147,126.1823614,2020/12/29,"6510000",제주특별자치도 제주시
조천체육관,체육관,체육관,없음,9:00,18:00,9:00,18:00,Y,,"21370",,방문. 팩스,,제주특별자치도 제주시 조천읍 조천18길 11-1,,제주시청,064-728-8541,33.539721,126.6417507,2020/12/29,"6510000",제주특별자치도 제주시
이호운동장,인조잔디구장,축구장,없음,8:00,18:00,8:00,18:00,Y,,"13528",,방문. 팩스,,제주특별자치도 제주시 오광로6길 58-11(이호이동),,제주시청,064-722-0850,33.4862785,126.4548267,2020/12/29,"6510000",제주특별자치도 제주시
삼양축구장,인조잔디구장,축구장,없음,8:00,21:00,8:00,21:00,Y,,"18025",,방문. 팩스,,제주특별자치도 제주시 원당북로 45(삼양일동),,제주시청,064-752-3391,33.5328516,126.5959788,2020/12/29,"6510000",제주특별자치도 제주시
구좌체육공원,주경기장,다목적경기장,없음,9:00,22:00,9:00,22:00,Y,,"70632",,방문. 팩스,,제주특별자치도 제주시 구좌읍 김녕로 209,,제주시청,064-728-7711,33.5562037,126.7594566,2020/12/29,"6510000",제주특별자치도 제주시
구좌체육공원,체육관,체육관,없음,9:00,18:00,9:00,18:00,Y,,"9917",,방문. 팩스,,제주특별자치도 제주시 구좌읍 김녕로 209,,제주시청,064-728-7711,33.5562037,126.7594566,2020/12/29,"6510000",제주특별자치도 제주시
제주생활체육공원,인조잔디구장,축구장,없음,8:00,18:00,8:00,18:00,Y,,"39005",,방문. 팩스,,제주특별자치도 제주시 와흘전1길 32(회천동),,제주시청,064-752-3391,33.5072203,126.5428234,2020/12/29,"6510000",제주특별자치도 제주시
제주생활체육공원,테니스장,테니스장,없음,8:00,18:00,8:00,18:00,Y,,"38777",,방문. 팩스,,제주특별자치도 제주시 와흘전1길 32(회천동),,제주시청,064-722-0850,33.5072203,126.5428234,2020/12/29,"6510000",제주특별자치도 제주시
제주생활체육공원,파크골프장,골프장,없음,8:00,18:00,8:00,18:00,Y,,"38777",,방문. 팩스,,제주특별자치도 제주시 와흘전1길 32(회천동),,제주시청,064-722-0850,33.5072203,126.5428234,2020/12/29,"6510000",제주특별자치도 제주시
제주종합경기장,주경기장,다목적경기장,없음,6:00,22:00,6:00,22:00,Y,,"30327",,방문. 팩스,,제주특별자치도 제주시 서광로2길 24,,제주시청,064-728-3271,33.4949885,126.5167324,2020/12/29,"6510000",제주특별자치도 제주시
부여군종합운동장 풋살경기장,부여군종합운동장,풋살경기장,없음,9:00,22:00,9:00,22:00,Y,"50","2264",,방문+전화,,충청남도 부여군 규암면 호수로 82,충청남도 부여군 규암면 나복리 456,부여군시설관리공단,041-835-2941,36.2788559,126.8647657,2020/09/30,"4570000",충청남도 부여군
부여군종합운동장 테니스장,부여군종합운동장,테니스장,없음,9:00,22:00,9:00,22:00,Y,"300","8018",관리실,방문+전화,,충청남도 부여군 규암면 호수로 82,충청남도 부여군 규암면 나복리 456,부여군시설관리공단,041-835-2941,36.2788559,126.8647657,2020/09/30,"4570000",충청남도 부여군
부여군종합운동장 필드,부여군종합운동장,다목적경기장,12월~3월,9:00,22:00,9:00,22:00,Y,"6000","7140",대기실,방문+전화,,충청남도 부여군 규암면 호수로 82,충청남도 부여군 규암면 나복리 456,부여군시설관리공단,041-835-2941,36.2788559,126.8647657,2020/09/30,"4570000",충청남도 부여군
부여군종합운동장 족구장,부여군종합운동장,족구장,없음,9:00,22:00,9:00,22:00,Y,"50","1222",,방문+전화,,충청남도 부여군 규암면 호수로 82,충청남도 부여군 규암면 나복리 456,부여군시설관리공단,041-835-2941,36.2788559,126.8647657,2020/09/30,"4570000",충청남도 부여군
부여군민체육관,부여군민체육관,체육관,없음,9:00,22:00,9:00,22:00,Y,"500",,,방문+전화,,충청남도 부여군 규암면 호수로 83,충청남도 부여군 규암면 나복리 457,부여군시설관리공단,041-837-8845,36.277145,126.913279,2020/09/30,"4570000",충청남도 부여군
용수교 둔치 축구장,용수교 둔치,축구장,N,6:00,22:00,6:00,22:00,N,,"340",,,,,경기도 화성시 정남면 발산리 15,화성도시공사,,37.168635,126.994656,2020/05/24,"5530000",경기도 화성시
예당 임시체육시설 축구장,예당 임시체육시설,축구장,N,6:00,22:00,6:00,22:00,N,,"530",,,,,경기도 화성시 석우동 58,동탄1동,,37.206432,127.077273,2020/05/24,"5530000",경기도 화성시
쌍봉산근린공원 축구장,쌍봉산근린공원,축구장,N,6:00,22:00,6:00,22:00,Y,,"1044",,,,,경기도 화성시 우정읍 조암리 산28-2일원,화성도시공사,,37.089404,126.819781,2020/05/24,"5530000",경기도 화성시
한림종합운동장,주경기장,다목적경기장,없음,6:00,22:00,6:00,22:00,Y,,"17414",,방문. 팩스,,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주시청,064-728-8526,33.4089747,126.2662846,2020/12/29,"6510000",제주특별자치도 제주시
한림종합운동장,테니스장,테니스장,없음,6:00,22:00,6:00,22:00,Y,,"1254",,방문. 팩스,,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주시청,064-728-8526,33.4089747,126.2662846,2020/12/29,"6510000",제주특별자치도 제주시
한림종합운동장,체육관,체육관,없음,6:00,22:00,6:00,22:00,Y,,"37462",,방문. 팩스,,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주시청,064-728-8526,33.4089747,126.2662846,2020/12/29,"6510000",제주특별자치도 제주시
한경체육관,체육관,체육관,없음,9:00,18:00,9:00,18:00,Y,,"23293",,방문. 팩스,,제주특별자치도 제주시 한경면 칠전로 41,,제주시청,064-728-7911,33.3014147,126.1823614,2020/12/29,"6510000",제주특별자치도 제주시
유달게이트볼구장,유달게이트볼구장,골프장,연중무휴,9:00,18:00,9:00,18:00,N,"100","1092",,신청서접수,,전라남도 목포시 용당로 101,,전라남도 목포시청,061-270-8372,34.797575,126.399822,2021/01/28,"4800000",전라남도 목포시
유달검도체육관,유달검도체육관,체육관,연중무휴,9:00,18:00,9:00,18:00,Y,"70","293",,신청서접수,,전라남도 목포시 용당로 101,,전라남도 목포시청,061-270-8372,34.797575,126.399822,2021/01/28,"4800000",전라남도 목포시
목포실내체육관 테니스장,목포실내체육관 테니스장,테니스장,월요일,9:00,18:00,9:00,18:00,Y,"500","2154",라이트시설4주,신청서접수,,전라남도 목포시 대양로 286,,전라남도 목포시청,061-270-4090,34.82410626,126.407449,2021/01/28,"4800000",전라남도 목포시
목포실내체육관 파크골프장,목포실내체육관 파크골프장,골프장,월요일,9:00,18:00,9:00,18:00,Y,"150","6000",,신청서접수,,전라남도 목포시 대양로 286,,전라남도 목포시청,061-270-4090,34.82410626,126.407449,2021/01/28,"4800000",전라남도 목포시
부주산국제파크골프장,부주산국제파크골프장,골프장,월요일,9:00,18:00,9:00,18:00,Y,"200","20224","야외화장실1동,파고라1동",신청서접수,,전라남도 목포시 부주로 312,,전라남도 목포시청,061-284-2035,34.812275,126.436712,2021/01/28,"4800000",전라남도 목포시
추자체육관,체육관,체육관,없음,9:00,18:00,9:00,18:00,Y,,"5745",,방문. 팩스,,제주특별자치도 제주시 추자면 대서5길 48-29,,제주시청,064-728-4265,33.9645711,126.2925402,2020/12/29,"6510000",제주특별자치도 제주시
군산늘푸른도서관,지하1층,체육관,매주 주말,9:00,18:00,0:00,0:00,N,"10",,,방문,,전라북도 군산시 하나운로 17,전라북도 군산시 나운동 153-8,전라북도 군산시청,063-454-5982,35.960518,126.699048,2021/03/22,"4670000",전라북도 군산시
화도체육문화센터,화도체육문화센터,체육관,매월 둘째주+넷째주 일요일+신정당일+설+추석 전후3일,6:00,22:00,9:00,17:00,Y,"1008","1111",음향기기+농구대+배드민턴 세트,방문+전화,https://www.ncuc.or.kr/hd/451,경기도 남양주시 화도읍 수레로 1259,경기도 남양주시 화도읍 창현리 529-5,남양주도시공사,031-560-1431,37.649738,127.3012397,2021/03/11,"3990000",경기도 남양주시
와부체육문화센터,와부체육문화센터,체육관,매월 둘째주+넷째주 일요일+신정당일+설+추석 전후3일,6:00,22:00,9:00,17:00,Y,"500","1403",배드민턴+배구+농구+조명+탁구 용품셋트+음향+전동의자,인터넷+방문,https://www.ncuc.or.kr/wb/495,경기도 남양주시 와부읍 월문천로 51,경기도 남양주시 와부읍 덕소리 117-1,남양주도시공사,031-560-1263,37.58576233,127.217992,2021/03/11,"3990000",경기도 남양주시
진접체육문화센터,진접체육문화센터,체육관,매월 둘째주+넷째주 일요일+신정당일+설+추석 전후3일,6:00,22:00,9:00,17:00,Y,"700","880",빔프로젝터+무대 및 음향장비+의자 700개,인터넷+방문,https://www.ncuc.or.kr/jj/536,경기도 남양주시 진접읍 금강로 1509-24,경기도 남양주시 진접읍 장현리 산25-39,남양주도시공사,031-560-1351,37.72713188,127.1897326,2021/03/11,"3990000",경기도 남양주시
에코랜드수영장,에코랜드수영장,체육관,매월 둘째주+넷째주 일요일+신정당일+설+추석 전후3일,6:00,21:00,7:00,19:00,Y,"30","1403",배드민턴+농구+조명+음향+빔프로젝트1개+의자+탁자,인터넷+방문,https://www.ncuc.or.kr/eco/620,경기도 남양주시 별내면 청학로8번길 39,경기도 남양주시 별내면 광전리 1,남양주도시공사,031-560-1321,37.70433382,127.1310102,2021/03/11,"3990000",경기도 남양주시
의성생활체육공원,의성생활체육공원,테니스장,연중무휴,18:00,22:00,18:00,22:00,N,"100","4344",,전화,,경상북도 의성군 단북면 안계길 237,경상북도 의성군 단북면 노연리 390-2,경상북도 의성군청,054-861-0632,36.39123925,128.429799,2020/12/10,"5150000",경상북도 의성군
구봉공원,미니축구장,축구장,연중무휴,9:00,18:00,9:00,18:00,N,"50","3916",,전화,,경상북도 의성군 의성읍 남대천길 197-1,경상북도 의성군 의성읍 후죽리 776-2,경상북도 의성군청,054-830-6938,36.35017208,128.6916487,2020/12/10,"5150000",경상북도 의성군
풋살장,풋살장,풋살경기장,연중무휴,9:00,18:00,9:00,18:00,Y,"20",,,위탁운영,,경상북도 의성군 의성읍 충효로 50,경상북도 의성군 의성읍 상리리 600,경상북도 의성군청,054-830-6944,36.35358103,128.7051158,2020/12/10,"5150000",경상북도 의성군
족구장,족구장,족구장,연중무휴,9:00,18:00,9:00,18:00,Y,"20",,,위탁운영,,경상북도 의성군 의성읍 충효로 50,경상북도 의성군 의성읍 상리리 600,경상북도 의성군청,054-830-6944,36.35358103,128.7051158,2020/12/10,"5150000",경상북도 의성군
농어촌복합체육시설,점곡면농어촌복합체육시설,축구장,연중무휴,9:00,18:00,9:00,18:00,Y,"200",,,전화,,경상북도 의성군 점곡면 점곡길 53,경상북도 의성군 점곡면 서변리 172,경상북도 의성군청,054-830-6944,36.42613996,128.766395,2020/12/10,"5150000",경상북도 의성군
유달경기장,유달경기장,다목적경기장,연중무휴,6:00,23:00,6:00,23:00,Y,"11000","67583",조명타워4기,신청서접수,,전라남도 목포시 용당로 101,,전라남도 목포시청,061-270-8372,34.79826172,126.399822,2021/01/28,"4800000",전라남도 목포시
유달시립테니스장목포시,유달시립테니스장목포시,테니스장,연중무휴,9:00,18:00,9:00,18:00,Y,"100","2479",라이트시설6주,신청서접수,,전라남도 목포시 용당로 101,,전라남도 목포시청,061-270-8372,34.797575,126.399822,2021/01/28,"4800000",전라남도 목포시
유달시립정구장,유달시립정구장,테니스장,연중무휴,9:00,18:00,9:00,18:00,Y,"100","2429",라이트시설4주,신청서접수,,전라남도 목포시 용당로 101,,전라남도 목포시청,061-270-8372,34.797575,126.399822,2021/01/28,"4800000",전라남도 목포시
의성종합운동장,종합운동장,축구장,연중무휴,9:00,22:30,9:00,22:30,Y,"200","7140",,대관신청,,경상북도 의성군 의성읍 충효로 104,경상북도 의성군 의성읍 중리리 516,경상북도 의성군청,054-830-6944,36.35477331,128.7031433,2020/12/10,"5150000",경상북도 의성군
의성체육관,의성체육관,배드맨턴장,연중무휴,9:00,22:30,9:00,22:30,N,"50","1416",,위탁운영,,경상북도 의성군 의성읍 충효로 104,경상북도 의성군 의성읍 중리리 516,경상북도 의성군청,054-830-6944,36.35477331,128.7031433,2020/12/10,"5150000",경상북도 의성군
웅상체육공원 풋살장,웅상체육공원,풋살경기장,연중무휴,7:00,22:00,9:00,22:00,Y,,"3350",,인터넷,http://ycs.yssisul.or.kr/stms/img/sub05/img02_4.gif,경상남도 양산시 배움터길 60-19,경상남도 양산시 평산동 283,경상남도 양산시시설관리공단,055-379-8574,35.374237,129.142799,2020/10/22,"5380000",경상남도 양산시
웅상체육공원 족구장,웅상체육공원,족구장,연중무휴,7:00,22:00,9:00,22:00,N,,"1280",,인터넷,http://ycs.yssisul.or.kr/stms/img/sub05/img02_2.gif,경상남도 양산시 배움터길 60-19,경상남도 양산시 평산동 283,경상남도 양산시시설관리공단,055-379-8574,35.374237,129.142799,2020/10/22,"5380000",경상남도 양산시
오남체육문화센터,오남체육문화센터,축구장,신정당일+설+추석 전후3일,6:00,22:00,9:00,17:00,Y,"30","131",음향기기,인터넷+방문,https://www.ncuc.or.kr/on/405,경기도 남양주시 오남읍 진건오남로577번길 11,경기도 남양주시 오남읍 오남리 538-1,남양주도시공사,031-560-1371,37.68487139,127.2098699,2021/03/11,"3990000",경기도 남양주시
제24호 근린공원 복합운동장,농구장,농구장,N,6:00,22:00,6:00,22:00,N,,,,,,,경기도 화성시 방교동 861,화성도시공사,,37.168066,127.090474,2020/05/24,"5530000",경기도 화성시
경북도청 족구장,체육시설(족구장),족구장,연중무휴,9:00,22:00,9:00,22:00,Y,"10","648",동문방면(족구장),우편+방문,http://www.gb.go.kr/Main/open_contents/section/culture/page.do?mnu_uid=4092&LARGE_CODE=370&MEDIUM_CODE=40&SMALL_CODE=40&SMALL_CODE2=10&mnu_order=5,경상북도 안동시 풍천면 도청대로 455,경상북도 안동시 풍천면 갈전리 1155,경북도청,054-880-8884,36.57615305,128.5053682,2021/02/23,"6470000",경상북도
경북도청 족구장,체육시설(축구장),축구장,연중무휴,9:00,22:00,9:00,22:00,Y,"30","3972",동문방면(축구장),우편+방문,http://www.gb.go.kr/Main/open_contents/section/culture/page.do?mnu_uid=4092&LARGE_CODE=370&MEDIUM_CODE=40&SMALL_CODE=40&SMALL_CODE2=10&mnu_order=5,경상북도 안동시 풍천면 도청대로 455,경상북도 안동시 풍천면 갈전리 1155,경북도청,054-880-8884,36.57615305,128.5053682,2021/02/23,"6470000",경상북도
경북도청 테니스장,체육시설(테니스장),테니스장,연중무휴,9:00,22:00,9:00,22:00,Y,"20","2204",동문방면(테니스장),우편+방문,http://www.gb.go.kr/Main/open_contents/section/culture/page.do?mnu_uid=4092&LARGE_CODE=370&MEDIUM_CODE=40&SMALL_CODE=40&SMALL_CODE2=10&mnu_order=5,경상북도 안동시 풍천면 도청대로 455,경상북도 안동시 풍천면 갈전리 1155,경북도청,054-880-8884,36.57615305,128.5053682,2021/02/23,"6470000",경상북도
스포츠센터 종합운동장,종합운동장,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,"15000","30472",운동시설 보관소+락카룸,,,전라남도 영광군 영광읍 월현로 170,,전라남도 영광군청,061-350-5253,35.28913291,126.4940851,2020/10/01,"4970000",전라남도 영광군
스포츠센터 실내체육관,실내체육관,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,"2000","4126",샤워장,,,전라남도 영광군 영광읍 월현로 170,,전라남도 영광군청,061-350-5253,35.28913291,126.4940851,2020/10/01,"4970000",전라남도 영광군
