야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,1일최대수용인원수,편의시설,안전시설,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
만수산자연휴양림,야영장,36.33789235,126.7090767,충청남도 부여군 외산면 휴양로 107,충청남도 부여군 외산면 삼산리 산 40,041-832-6561,20,140,상하수도시설+화장실+취사시설+샤워실,소화기+확성기등 방송장비+안전게시물+대피공간+관리요원,041-830-2219,부여군청,2020-01-28,6440000,충청남도
부여사나래캠핑농원,야영장,36.08842138,126.8580504,충청남도 부여군 양화면 상시로 151,충청남도 부여군 양화면 시음리 412,041-000-0000,10,40,화장실+샤워실+개수대+야외수전,소화기+안전게시물+방화호스,041-830-2219,부여군청,2020-01-28,6440000,충청남도
홍산관광농원,자동차야영장,36.253557,126.747585,충청남도 부여군 홍산면 삽티로 465,,041-836-1332,20,80,상하수도시설+화장실+취사시설+샤워실,소화기+확성기등 방송장비+안전게시물+대피공간+관리요원,041-830-2219,부여군청,2020-01-28,6440000,충청남도
글램핑판,야영장,36.18408027,126.7225642,충청남도 부여군 옥산면 신안로40번길 90,충청남도 부여군 옥산면 신안리 398,041-000-0000,1,32,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기등 방송장비+안전게시물+대피공간+관리요원,041-830-2219,부여군청,2020-01-28,6440000,충청남도
광릉분재예술공워 캠핑장,야영장,37.780199,127.160367,,경기도 포천시 소흘읍 직동리 281-1,031-000-0000,19,76,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
꿈에그린 캠핑장,야영장,38.013895,127.371008,경기도 포천시 이동면 화동로1870번길 31,경기도 포천시 이동면 연곡리 475,031-000-0000,26,104,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
주노글램핑,야영장,38.08356447,127.3898471,경기도 포천시 이동면 금강로 6217-16,경기도 포천시 이동면 도평리 521,031-000-0000,12,48,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
파피루스 캠핑장,야영장,38.02712202,127.2820313,경기도 포천시 영중면 성장로179번길 32,경기도 포천시 영중면 성동리 75,031-000-0000,27,108,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
가래골농원 캠핑장,자동차야영장,37.993553,127.157378,경기도 포천시 창수면 포천로2811번길 178,경기도 포천시 창수면 추동리 821,031-000-0000,66,264,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
포천글램핑앤카라반,야영장,37.892535,127.309855,,경기도 포천시 화현면 화현리 716-7,031-000-0000,22,88,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
담터오지캠핑장,야영장,38.166547,127.187654,,경기도 포천시 관인면 삼율리 40-1,031-000-0000,8,32,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
예손농원캠핑장,야영장,38.06180172,127.3273381,경기도 포천시 영북면 여우고개로 7,경기도 포천시 영북면 산정리 84-7,031-000-0000,16,64,"화장실, 샤워실, 매점",소화기,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
달서별빛캠프 캠핑장,자동차야영장,35.82323355,128.5570443,대구광역시 달서구 앞산순환로 248,대구광역시 달서구 송현동 산56,053-667-3191,49,400,화장실+샤워실+취사장+물놀이장+놀이터,소화기+대피공간,053-667-3191,대구광역시 달서구청,2019-09-19,3470000,대구광역시 달서구
진경원민박캠핑장,야영장,36.81831718,126.6810558,충청남도 당진시 순성면 대촌2길 111-30,,041-000-0000,10,30,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
참숯골,야영장,36.951444,126.6231977,충청남도 당진시 고대면 보덕포로 545,,041-000-0000,10,30,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
초락나루팬션&글램핑,야영장,36.995643,126.5271243,충청남도 당진시 석문면 감목길 154,,041-000-0000,1,30,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
학동자동차아영장,자동차야영장,34.777022,128.643067,경상남도 거제시 동부면 거제대로 981,경상남도 거제시 동부면 학동리 221-1,055-635-5421,174,600,"화장실, 개수대, 샤워실",소화기,055-635-5421,한려해상국립공원 동부사무소,2019-08-10,5370000,경상남도 거제시
사과랑관광농원,야영장,36.83165917,126.7429008,충청남도 당진시 순성면 가화로 136,,041-000-0000,20,60,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
클럽레스피아in삽교바다공원,자동차야영장,36.89543752,126.8158312,충청남도 당진시 신평면 산정길 93,,041-000-0000,10,30,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
당진난지도국민여가캠핑장,야영장,37.04491392,126.4244558,,충청남도 당진시 석문면 난지도리 701,041-363-9229,31,100,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
금산국민여가캠핑장,자동차야영장,36.105021,127.5686705,충청남도 금산군 제원면 닥실길 16,충청남도 금산군 제원면 저곡리 26,041-753-2460,25,100,카라반+관리실+화장실+정자,cctv+소화기+방송시설,041-750-2382,금산군청,2020-01-28,6440000,충청남도
금산인삼골오토캠핑장,자동차야영장,36.08874909,127.5874463,충청남도 금산군 제원면 달고개길 113,충청남도 금산군 제원면 용화리 271,041-752-1210,55,220,관리동+화장실+샤워실+개수대,cctv+소화기+방송시설,041-750-2382,금산군청,2020-01-28,6440000,충청남도
금산산림문화타운캠핑장,야영장,36.06776064,127.3690934,충청남도 금산군 남이면 느티골길 200,충청남도 금산군 남이면 건천리 산 166,041-750-3435,83,330,안내소+화장실+개수대+매점,cctv+소화기+방송시설,041-750-2382,금산군청,2020-01-28,6440000,충청남도
하늘물빛정원글램핑,야영장,36.2230368,127.4829571,충청남도 금산군 추부면 검한1길 156,충청남도 금산군 추부면 요광리 713-1,041-751-7713,5,25,관리동+화장실+샤워실,cctv+소화기+방송시설,041-750-2382,금산군청,2020-01-28,6440000,충청남도
진산자연휴양림캠핑장,야영장,36.12303243,127.3441498,충청남도 금산군 진산면 대둔산로 6,충청남도 금산군 진산면 묵산리 산 87-13,041-753-4242,43,172,관리동+ 화장실+샤워실,cctv+소화기+방송시설,041-750-2382,금산군청,2020-01-28,6440000,충청남도
임진강글램핑,야영장,38.01797922,126.9721219,경기도 연천군 미산면 어삼로 391-79,경기도 연천군 미산면 삼화리 277-1,031-835-3550,25,104,전기시설+상하수도시설,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
서정온천오토캠핑장,자동차야영장,37.99591936,126.8859619,경기도 연천군 장남면 장백로330번길 137-28,경기도 연천군 장남면 원당리 45-8,031-835-0312,79,116,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
물새롬랜드오토캠핑장,자동차야영장,38.05228119,127.0175823,경기도 연천군 미산면 청정로 1706번길 119,경기도 연천군 미산면 우정리 324,031-833-0000,4,160,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
다솔관광농원,야영장,38.0368111,126.9567187,경기도 연천군 미산면 청정로 918번길 123,경기도 연천군 미산면 광동리 38,031-833-0000,4,10,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
삼화리 동광 캠핑장,야영장,38.0221899,126.9797144,경기도 연천군 미산면 어삼로 447-30,"경기도 연천군 미산면 삼화리 111,112",031-833-0000,22,10,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
평화강변 수목캠핑장,자동차야영장,38.01942911,126.9777427,경기도 연천군 미산면 어삼로 415-17,경기도 연천군 미산면 삼화리 117-3,031-835-7394,74,296,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
고대산캠핑리조트,야영장,38.2129309,127.1468178,경기도 연천군 신서면 고대산길 84-12,경기도 연천군 신서면 대광리 130-3,031-834-6300,40,300,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
로하스캠핑,야영장,38.1324953,127.0252343,경기도 연천군 중면 군중로 319-46,경기도 연천군 중면 삼곶리 185,031-833-0000,2,212,전기시설+상하수도시설+샤워실,소화기+대피공간,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
서울YMCA다락원캠프장,자동차야영장,37.69632774,127.0415358,경기도 의정부시 평화로49번길 63(호원동),경기도 의정부시 호원동 산119-6번지 서울YMCA다락원캠프장,031-873-5624,20,80,샤워장+개수대+화장실,"소화기, 대피시설, 대피안내문",031-828-4354,의정부시 문화관광과,2020-06-01,3820000,경기도 의정부시
수락 캠핑장,야영장,37.71351389,127.1003953,경기도 의정부시 송산로971번길 99-4(산곡동),경기도 의정부시 산곡동 603번지,070-4189-2787,6,30,샤워장+개수대+화장실+매점,"소화기, 대피시설, 대피안내문",031-828-4354,의정부시 문화관광과,2020-06-01,3820000,경기도 의정부시
도봉야영장,야영장,37.695353,127.0469005,경기도 의정부시 창포원로 81(호원동),경기도 의정부시 호원동 163번지,000-0000-0000,18,80,샤워장+화장실,"소화기, 대피시설, 대피안내문",031-828-4354,의정부시 문화관광과,2020-06-01,3820000,경기도 의정부시
구름포해수욕장카라반,야영장,36.83517,126.153008,충청남도 태안군 소원면 의항리 160-4,충청남도 태안군 소원면 의항리 160-4,041-670-2114,1,44,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
쉼이있는자유,야영장,36.725242,126.269573,충청남도 태안군 의원면 음포길 133-6,충청남도 태안군 의원면 음포길 133-6,041-670-2114,4,36,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
몽산포패밀리데이캠핑장,야영장,36.67147622,126.2880866,충청남도 태안군 남면 신장리 353-148,충청남도 태안군 남면 신장리 353-148,041-670-2114,17,68,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
센티마르글램핑,야영장,36.898218,126.210862,"충청남도 태안군 원북면 방갈리 515-34,35","충청남도 태안군 원북면 방갈리 515-34,35",041-670-2114,4,36,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
송림캠핑장,야영장,36.747344,126.136874,"충청남도 태안군 소원면 파도리 543-636,635","충청남도 태안군 소원면 파도리 543-636,635",041-670-2114,9,36,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
CLUB 596,야영장,36.68363735,126.2682564,충청남도 태안군 남면 몽산리 596,충청남도 태안군 남면 몽산리 596,041-670-2114,1,32,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
돌고래오토캠핑장2,야영장,36.674535,126.269993,"충청남도 태안군 남면 몽산리 663-1, 2","충청남도 태안군 남면 몽산리 663-1, 2",041-670-2114,1,16,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
별천지야영장,야영장,37.932742,127.546796,경기도 가평군 북면 화악산로 818,경기도 가평군 북면 화악리 741,031-0000-0000,9,36,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,031-580-2073,가평군청 관광과,2019-09-08,4160000,경기도 가평군
블루문캠핑장,야영장,37.747373,127.3484346,경기도 가평군 상면 수목원로 386번길 48-5,경기도 가평군 상면 행현리 621-3,031-0000-0000,23,92,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,031-580-2073,가평군청 관광과,2019-09-08,4160000,경기도 가평군
무주글램핑,야영장,35.89825148,127.7756958,전라북도 무주군 설천면 구천동1로 138,전라북도 무주군 설천면 삼공리 524-12,063-320-2547,23,84,화장실취사장샤워실,소화기확성기누전차단기연기감지기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
무주카라반,야영장,35.9072648,127.762012,전라북도 무주군 설천면 구천동로 1048-8,전라북도 무주군 설천면 심곡리 474-2,063-322-7111,5,20,취사장샤워실주방,소화기확성기누전차단기연기감지기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
덕유캠프농장,야영장,35.92471779,127.759457,전라북도 무주군 설천면 구천동로 1262-4,전라북도 무주군 설천면 심곡리 398,063-320-2547,78,320,화장실취사장,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
덕유산자연휴양림,야영장,35.90581192,127.8142083,전라북도 무주군 무풍면 구천동로 530-62,전라북도 무주군 무풍면 삼거리 산 1-7,063-322-1097,28,730,화장실취사장샤워실,소화기확성기CCTV,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
초록빛언덕글램핑,야영장,35.955053,127.7152157,전라북도 무주군 적상면 괴목로 603-15,전라북도 무주군 적상면 포내리 561-1,063-320-2547,12,60,화장실취사장,소화기확성기누전차단기연기감지기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
덕유대야영장,야영장,35.89698404,127.7760246,전라북도 무주군 설천면 백련사길 2,전라북도 무주군 설천면 삼공리 411-8,063-322-3173,426,1752,화장실샤워실,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
덕유대자동차야영장,자동차야영장,35.89698404,127.7760246,전라북도 무주군 설천면 백련사길 2,전라북도 무주군 설천면 삼공리 411-8,063-322-3173,74,296,화장실샤워실,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
덕유산700휠링캠프,야영장,35.877198,127.822143,전라북도 무주군 무풍면 구천동로 289-55,전라북도 무주군 무풍면 삼거리 137,063-322-8338,10,40,화장실샤워실,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
㈜밀모빨강치마,야영장,35.931752,127.670064,전라북도 무주군 적상면 밀모길79-30,전라북도 무주군 적상면 사산리 산 235,063-322-7000,15,120,화장실취사장,소화기확성기누전차단기연기감지기CCTV,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
㈜밀모빨강치마자동차야영장,자동차야영장,35.931752,127.670064,전라북도 무주군 적상면 밀모길79-30,전라북도 무주군 적상면 사산리 산 235,063-322-7000,11,40,화장실취사장,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
반딧골캠핑장,야영장,35.98483492,127.7864999,전라북도 무주군 설천면 구천동로 2244,전라북도 무주군 설천면 두길리 1384,063-320-2547,9,84,화장실취사장샤워장,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
무주홀리데이파크,야영장,35.83934,127.685319,전라북도 무주군 안성면 칠연로 462-3,전라북도 무주군 안성면 공정리 1304,063-323-9000,15,84,화장실취사장샤워실,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
무주계곡오토캠핑장,자동차야영장,35.90705717,127.7634856,전라북도 무주군 설천면 구천동로 1048-26,전라북도 무주군 설천면 심곡리 461-1,063-322-2509,25,88,화장실샤워실,소화기확성기누전차단기,063-320-2547,무주군청문화관광과,2019-09-30,4740000,전라북도 무주군
간월도캠핑장,야영장,36.60683408,126.417755,충청남도 서산시 부석면 간월달발길 108-6,충청남도 서산시 부석면 간월도리 21-20,041-000-0000,10,150,전기시설+상하수도시설+샤워실,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
서산글램핑,야영장,36.95109153,126.3814603,충청남도 서산시 대산읍 오지검은고지길 1-10,충청남도 서산시 대산읍 오지리 41,041-665-6887,7,150,전기시설+상하수도시설,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
다온,야영장,36.93877045,126.382566,충청남도 서산시 대산읍 광암4길 115,충청남도 서산시 대산읍 대로리 876-272,041-000-0000,20,150,전기시설+상하수도시설+샤워실,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
팔봉갯벌체험야영장,야영장,36.8597787,126.3378265,충청남도 서산시 팔봉면 범머리길 408,충청남도 서산시 팔봉면 호리 51,041-000-0000,11,30,전기시설+상하수도시설+샤워실,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
벌곡오토캠핑장,자동차야영장,36.1923061,127.2912826,충청남도 논산시 벌곡면 수락로517번길 36-5,충청남도 논산시 벌곡면 대덕리 346,041-734-6012,35,100,상하수도시설+전기시설+화장실+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
유토피아 오토캠핑장,자동차야영장,36.1971829,127.2914426,충청남도 논산시 벌곡면 수락로 669-54,충청남도 논산시 벌곡면 대덕리 222-1,041-733-1002,31,128,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
연산황산벌 오토캠핑장,자동차야영장,36.1877365,127.2311695,충청남도 논산시 연산면 신신양로 187-8,충청남도 논산시 연산면 신양리 18,041-000-0000,13,60,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
테하스랜드 글램핑장,자동차야영장,36.1411764,127.1056635,충청남도 논산시 연무읍 안심로220번길 60-24,충청남도 논산시 연무읍 동산리 726-8,041-000-0000,12,60,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
아트 캠핑 빌리지,야영장,36.2637114,127.1522369,충청남도 논산시 상월면 한천길 15-11,충청남도 논산시 상월면 한천리 265,041-734-6980,20,140,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
꿈꾸는 시계,야영장,36.18784735,127.288095,충청남도 논산시 벌곡면 수락로443번길 49,충청남도 논산시 벌곡면 대덕리 491-1,041-000-0000,19,76,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
나그네 캠핑장,야영장,36.26641388,127.1884408,충청남도 논산시 연산면 선비로866번길 166-12,충청남도 논산시 연산면 어은리 23-7,041-733-3700,18,80,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
수락베이스캠프,야영장,36.14431346,127.3049528,충청남도 논산시 벌곡면 수락계곡길 242,충청남도 논산시 벌곡면 수락리 118-4,041-000-0000,5,20,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
논산 탑정호 글램핑,야영장,36.17557158,127.1541826,충청남도 논산시 가야곡면 탑정로 840,충청남도 논산시 가야곡면 종연리 238-7,041-000-0000,10,50,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,041-746-5404,논산시청,2020-01-28,6440000,충청남도
아잘리아그린,야영장,36.91328076,126.4871006,충청남도 당진시 대호지면 대호나루터길 105-75,,041-000-0000,55,200,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
당진해양캠핑공원,야영장,36.89597068,126.817984,충청남도 당진시 신평면 산정길 112,,041-363-9229,20,60,전기시설+상하수도시설+화장실+샤워실,소화기+대피공간,041-350-3592,당진시청,2020-01-28,6440000,충청남도
파크12,야영장,37.69353712,127.6021058,강원도 홍천군 서면 밤벌길2번길 21,강원도 홍천군 서면 모곡리 491-46,033-4245-6309,10,20,화장실+취사시설+,소화기+대피공간,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
리버우드 개발,야영장,37.67451499,127.7437553,강원도 홍천군 북방면 노일로 30-2,강원도 홍천군 북방면 노일리 548,033-434-1357,10,20,화장실+취사시설+,소화기+대피공간,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
하늘바라기 글램핑,야영장,37.80376697,128.005601,강원도 홍천군 내촌면 아홉사리로 164-22,강원도 홍천군 내촌면 화상대리 1206,033-9913-2400,10,20,화장실+취사시설+,소화기+대피공간,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
별장캠핑카,야영장,36.32477657,126.5081614,충청남도 보령시 대천항1길 30,충청남도 보령시 신흑동 929-29,041-000-0000,3,28,상하수도+전기+화장실,소화기+방송장비,041-930-6572,보령시청,2020-01-28,6440000,충청남도
용두해수욕장숲속야영장,야영장,36.26267805,126.548386,충청남도 보령시 남포면 용두욕장2길 40,충청남도 보령시 남포면 월전리 787-4,041-933-4005,40,160,상하수도+전기+화장실,소화기+방송장비,041-930-6572,보령시청,2020-01-28,6440000,충청남도
더반힐글램핑,야영장,36.42473539,126.5041285,충청남도 보령시 오천면 오천해안로 555,충청남도 보령시 오천면 영보리 392-4,041-932-9262,11,60,상하수도+전기+화장실,소화기+방송장비,041-930-6572,보령시청,2020-01-28,6440000,충청남도
어망골캠핑장,야영장,36.50545039,126.4905541,충청남도 보령시 천북면 사호장은로 638,충청남도 보령시 천북면 장은리 970,041-000-0000,15,70,상하수도+전기+화장실,소화기+방송장비,041-930-6572,보령시청,2020-01-28,6440000,충청남도
대천용두야영장,야영장,36.25979286,126.5413684,충청남도 보령시 웅천읍 열린바다로 100-50,충청남도 보령시 웅천읍 관당리 645-14,041-934-6362,11,50,상하수도+전기+화장실,소화기+방송장비,041-930-6572,보령시청,2020-01-28,6440000,충청남도
파라다이스스파도고캠핑장,야영장,36.76579045,126.8851261,충청남도 아산시 선장면 도고온천로 176-2,충청남도 아산시 선장면 신성리 260-2,041-537-7117,50,200,공동취사장+온천족욕탕+식료품판매점+바베큐장+전기+상하수도,소화기+방송장비+cctv+대피공간,041-540-2689,아산시청,2020-01-28,6440000,충청남도
연풍연가캠핑장,야영장,36.66933536,127.0025684,충청남도 아산시 송악면 종곡길96번길 90,,041-000-0000,23,75,샤워실+매점+개수시설+전기+상하수도,소화기+확성기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
아산글램핑캠핑장,자동차야영장,36.7815323,126.9056306,충청남도 아산시 선장면 학성로 214,충청남도 아산시 선장면 죽산리 202-1,041-547-7882,21,124,취사장+샤워실+전기+상하수도,소화기+방송장비+cctv+대피공간,041-540-2689,아산시청,2020-01-28,6440000,충청남도
도고온천모두캠핑장,야영장,36.76604133,126.8800184,충청남도 아산시 도고면 도고온천로 207-20,충청남도 아산시 도고면 신언리 7-4,041-544-9254,11,55,전기시설+상하수도시설+샤워실+공동취사장,소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
웨스턴캠프,야영장,36.83269713,127.011349,충청남도 아산시 음봉면 충무로604번길 12,충청남도 아산시 음봉면 동천리 75-4,041-000-0000,10,40,전기시설+상하수도시설+샤워실+공동취사장+소매점,소화기-대피공간,041-540-2689,아산시청,2020-01-28,6440000,충청남도
아산곡교천야영장,야영장,36.79709779,127.0239379,충청남도 아산시 곡교천로 407,충청남도 아산시 권곡동 65-2,070-7747-1895,67,268,상하수도+샤워실+개수대,소화전+대피공간,041-540-2689,아산시청,2020-01-28,6440000,충청남도
월선캠핑장,야영장,36.87733916,126.9295846,충청남도 아산시 영인면 월선길 20-21,충청남도 아산시 영인면 월선리 157,041-000-0000,9,36,상하수도+샤워실+취사장-전기시설+매점,소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
라포레캠핑장,야영장,36.85499021,127.0140748,충청남도 아산시 음봉면 음봉면로 87,충청남도 아산시 음봉면 삼거리 231-4,041-533-0642,20,80,상하수도+전기시설+취사시설,소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
트윈스캠핑장,야영장,36.7587076,126.879613,충청남도 아산시 도고면 도고면로 117,충청남도 아산시 도고면 기곡리 254-6,041-548-6777,15,64,상하수도+전기시설+취사시설+샤워실,소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
강당골캠핑파크,야영장,36.71658234,127.0157554,충청남도 아산시 송악면 강당로 187-17,충청남도 아산시 송악면 강당리 182,041-544-6977,9,36,상하수도+전기시설+취사시설+샤워실+매점,소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
영인산자연휴양림 숲속야영장,야영장,36.84112487,126.9493882,충청남도 아산시 영인면 아산온천로 16-24,충청남도 아산시 영인면 아산리 산56-1,041-538-1958,20,80,상하수도+전기시설+공동화장실+취사실설+샤워실,방송시설+소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
밤소리글램핑,야영장,36.87312009,127.016447,충청남도 아산시 음봉면 신정리길 109-9,충청남도 아산시 음봉면 신정리398,041-000-0000,16,80,상하수도+전기시설+공동화장실+취사실설+샤워실,방송시설+소화기+대피소,041-540-2689,아산시청,2020-01-28,6440000,충청남도
캠프도고,야영장,36.7749685,126.8720469,충청남도 아산시 선장면 삼봉로 70,충청남도 아산시 선장면 군덕리 279-10,041-541-5511,100,100,전기시설+하수도시설,소화기+대피공간,041-540-2689,아산시청,2020-01-28,6440000,충청남도
삼원레저타운,야영장,36.77710994,126.349775,충청남도 서산시 팔봉면 진장서낭골길 203-14,충청남도 서산시 팔봉면 진장리 985,041-663-1111,250,1000,전기시설+상하수도시설+샤워실,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
용현자연휴양림 야영장,야영장,36.7518805,126.6076383,충청남도 서산시 운산면 마애삼존불길 339,충청남도 서산시 운산면 용현리 89-3,041-664-1978,25,200,상하수도시설,소화기+대피공간,041-660-2633,서산시청,2020-01-28,6440000,충청남도
그림나래 힐링캠프,야영장,36.718674,126.244951,충청남도 태안군 근흥면 궁틀길 62-51,충청남도 태안군 근흥면 궁틀길 62-51,041-670-2114,2,24,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
㈜레저스테이션리조트,야영장,37.7000543,127.4999471,경기도 가평군 설악면 자잠로282번길 72-95,경기도 가평군 설악면 사룡리 26-1,000-0000-0000,30,120,전기시설+상하수도시설+샤워실+화장실,소화기+대피소,031-580-2066,가평군청 관광과,2019-09-08,4160000,경기도 가평군
서해땅끝파도리아치내캠핑장,야영장,36.7197053,126.1274532,충청남도 태안군 소원면 파도리 1318,충청남도 태안군 소원면 파도리 1318,041-670-2114,20,48,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
태안라온캠핑장,자동차야영장,36.886285,126.2021583,충청남도 태안군 원북면 황촌리 800-95,충청남도 태안군 원북면 황촌리 800-95,041-674-4540,31,44,전기시설+하수도시설,소화기+대피공간,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
